               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081872,            0.030296,                   0,             0.40742,             0.48733,             0.39313,             0.14663,            0.057441,            0.023072,                   0,            0.070046,           0.0033282,           0.0033282
                   1,            0.060517,            0.026497,                   0,             0.42617,             0.63844,             0.47882,             0.20698,            0.049102,            0.021429,                   0,            0.037848,           0.0044632,           0.0044632
                   2,            0.052608,            0.025478,                   0,             0.69292,             0.62011,              0.6815,             0.34122,            0.044092,            0.019431,                   0,           0.0034495,           0.0033983,           0.0033983
