               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07674,            0.028893,                   0,              0.2825,              0.3307,             0.17471,            0.052233,            0.068513,            0.032981,                   0,            0.070046,           0.0033282,           0.0033282
                   1,            0.068907,            0.028845,                   0,             0.33988,             0.26171,             0.20569,            0.070571,            0.068891,            0.028862,                   0,            0.037848,           0.0044632,           0.0044632
                   2,            0.062518,            0.027946,                   0,             0.42702,             0.48242,             0.41664,             0.16844,            0.055806,            0.022831,                   0,           0.0034495,           0.0033983,           0.0033983
