               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095698,            0.032282,                   0,             0.21571,             0.21387,             0.10977,            0.025033,            0.074435,            0.029054,                   0,            0.067051,          0.00033282,          0.00033282
                   1,            0.074922,            0.030325,                   0,             0.35675,             0.43059,              0.2967,              0.1055,            0.062436,            0.024469,                   0,            0.033831,          0.00044632,          0.00044632
                   2,            0.066383,            0.027977,                   0,             0.43504,             0.52543,             0.41948,              0.1664,            0.056403,            0.023252,                   0,          0.00039103,          0.00033983,          0.00033983
