               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083792,            0.030777,                   0,             0.44148,             0.45308,             0.40537,             0.15083,            0.060661,            0.023481,                   0,            0.070046,           0.0033282,           0.0033282
                   1,            0.065224,            0.027193,                   0,             0.39282,              0.5303,             0.40736,             0.14973,            0.054831,            0.022381,                   0,            0.037848,           0.0044632,           0.0044632
                   2,            0.058674,            0.026393,                   0,             0.54948,             0.60974,             0.57637,             0.25373,            0.049498,            0.021248,                   0,           0.0034495,           0.0033983,           0.0033983
