               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072929,            0.029174,                   0,             0.20001,             0.24408,             0.11841,            0.033789,            0.071924,            0.031136,                   0,            0.070046,           0.0033282,           0.0033282
                   1,            0.064841,            0.028715,                   0,             0.34877,             0.32197,             0.18259,            0.058136,            0.071941,            0.029425,                   0,            0.037848,           0.0044632,           0.0044632
                   2,            0.059614,            0.027715,                   0,             0.49708,             0.51066,             0.47274,              0.1622,             0.05429,            0.023093,                   0,           0.0034495,           0.0033983,           0.0033983
