               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069987,            0.028348,                   0,              0.4066,             0.49622,             0.36805,             0.13803,            0.057416,            0.022279,                   0,            0.067051,          0.00033282,          0.00033282
                   1,            0.055593,            0.026481,                   0,             0.50394,             0.56975,             0.53614,             0.22909,            0.049477,            0.020943,                   0,            0.033831,          0.00044632,          0.00044632
                   2,             0.05037,            0.025413,                   0,             0.53416,             0.60826,             0.60675,             0.30657,            0.042331,            0.019869,                   0,          0.00039103,          0.00033983,          0.00033983
