               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071309,            0.027747,                   0,             0.39761,             0.41212,             0.33111,             0.11872,             0.06167,            0.021639,                   0,            0.067051,          0.00033282,          0.00033282
                   1,            0.057999,            0.026315,                   0,             0.45591,             0.59778,             0.48511,             0.21348,            0.049954,            0.022501,                   0,            0.033831,          0.00044632,          0.00044632
                   2,            0.050976,            0.025217,                   0,              0.6669,              0.6238,             0.69275,             0.35746,            0.042774,            0.019445,                   0,          0.00039103,          0.00033983,          0.00033983
