               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09767,            0.032138,                   0,             0.23538,            0.088299,            0.074744,            0.015342,            0.078656,            0.030477,                   0,            0.067051,          0.00033282,          0.00033282
                   1,            0.080498,            0.032652,                   0,             0.25503,             0.32281,             0.16132,            0.043923,            0.070101,            0.026491,                   0,            0.033831,          0.00044632,          0.00044632
                   2,            0.075265,            0.029937,                   0,             0.29004,             0.38358,              0.2176,            0.065827,            0.066825,             0.02557,                   0,          0.00039103,          0.00033983,          0.00033983
